confidence,layer,dropout,output
0.98475,1,0,bee
0.965874,1,5,bee
0.425728,1,10,bee
0.3711920000000001,1,15,bee
0.012753199999999996,1,20,bee
0.00313364,1,25,bee
0.059685500000000016,1,30,bee
1.2966000000000001e-05,1,35,bee
0.00048019399999999987,1,40,bee
0.00183141,1,45,bee
3.8562399999999995e-05,1,50,bee
0.000175124,1,55,bee
0.000365714,1,60,bee
0.000223741,1,65,bee
0.00010764400000000003,1,70,bee
5.4467400000000006e-05,1,75,bee
0.000519378,1,80,bee
0.000129547,1,85,bee
7.973050000000002e-05,1,90,bee
0.000437398,1,95,bee
1.07177e-06,1,100,bee
0.98475,2,0,bee
0.9878479999999998,2,5,bee
0.9714240000000001,2,10,bee
0.8654979999999999,2,15,bee
0.9973509999999999,2,20,bee
0.9252710000000002,2,25,bee
0.7510820000000001,2,30,bee
0.9153459999999998,2,35,bee
0.6371979999999999,2,40,bee
0.03402460000000001,2,45,bee
0.881894,2,50,bee
0.010138499999999998,2,55,bee
0.7313799999999999,2,60,bee
0.618645,2,65,bee
0.26537200000000005,2,70,bee
0.00010507999999999999,2,75,bee
0.00017062200000000002,2,80,bee
4.42186e-05,2,85,bee
1.19668e-05,2,90,bee
1.0720299999999998e-06,2,95,bee
0.000939166,2,100,bee
0.98475,3,0,bee
0.9760869999999999,3,5,bee
0.985733,3,10,bee
0.9849780000000001,3,15,bee
0.956358,3,20,bee
0.955925,3,25,bee
0.8731440000000001,3,30,bee
0.8346829999999998,3,35,bee
0.6240509999999999,3,40,bee
0.906731,3,45,bee
0.38681499999999996,3,50,bee
0.10955200000000001,3,55,bee
0.21824499999999997,3,60,bee
0.08452740000000002,3,65,bee
0.14937200000000003,3,70,bee
0.0019024600000000003,3,75,bee
0.0009561490000000001,3,80,bee
0.000939166,3,85,bee
0.000939166,3,90,bee
0.000939166,3,95,bee
1.04322e-06,3,100,bee
0.98475,4,0,bee
0.984583,4,5,bee
0.977285,4,10,bee
0.9906889999999999,4,15,bee
0.9714940000000001,4,20,bee
0.9790279999999998,4,25,bee
0.984116,4,30,bee
0.9710370000000002,4,35,bee
0.9834440000000002,4,40,bee
0.9856130000000001,4,45,bee
0.9505239999999999,4,50,bee
0.973063,4,55,bee
0.9784889999999999,4,60,bee
0.0398633,4,65,bee
0.000738644,4,70,bee
1.0588299999999997e-06,4,75,bee
1.03072e-06,4,80,bee
1.0527999999999997e-06,4,85,bee
1.04322e-06,4,90,bee
1.04322e-06,4,95,bee
0.000939166,4,100,bee
0.98475,5,0,bee
0.9876319999999998,5,5,bee
0.9780949999999999,5,10,bee
0.9799710000000001,5,15,bee
0.9685,5,20,bee
0.922724,5,25,bee
0.874169,5,30,bee
0.9143520000000003,5,35,bee
0.845477,5,40,bee
0.838165,5,45,bee
0.7602979999999999,5,50,bee
0.529076,5,55,bee
0.431829,5,60,bee
0.15765699999999996,5,65,bee
0.07153600000000002,5,70,bee
0.016226899999999995,5,75,bee
0.006303990000000001,5,80,bee
0.000939166,5,85,bee
0.000939166,5,90,bee
0.000939166,5,95,bee
1.04322e-06,5,100,bee
0.98475,6,0,bee
0.9881019999999998,6,5,bee
0.989418,6,10,bee
0.9716989999999999,6,15,bee
0.968295,6,20,bee
0.97346,6,25,bee
0.968621,6,30,bee
0.9785459999999999,6,35,bee
0.9759080000000002,6,40,bee
0.990513,6,45,bee
0.9851699999999999,6,50,bee
0.992049,6,55,bee
0.8876169999999999,6,60,bee
0.9836609999999999,6,65,bee
0.833467,6,70,bee
0.116202,6,75,bee
5.17985e-05,6,80,bee
1.51682e-06,6,85,bee
1.18849e-06,6,90,bee
1.04818e-06,6,95,bee
0.000939166,6,100,bee
0.98475,7,0,bee
0.978213,7,5,bee
0.983277,7,10,bee
0.977741,7,15,bee
0.9759659999999999,7,20,bee
0.9618710000000001,7,25,bee
0.9166130000000001,7,30,bee
0.951147,7,35,bee
0.9305999999999999,7,40,bee
0.919984,7,45,bee
0.870679,7,50,bee
0.8524969999999998,7,55,bee
0.7730569999999999,7,60,bee
0.566021,7,65,bee
0.7061650000000002,7,70,bee
0.4382400000000001,7,75,bee
0.23490700000000003,7,80,bee
0.12199200000000002,7,85,bee
0.031066099999999992,7,90,bee
0.005784030000000001,7,95,bee
1.04322e-06,7,100,bee
0.98475,8,0,bee
0.9860279999999999,8,5,bee
0.980831,8,10,bee
0.980063,8,15,bee
0.9793649999999998,8,20,bee
0.9734110000000002,8,25,bee
0.970974,8,30,bee
0.9749640000000002,8,35,bee
0.9678150000000001,8,40,bee
0.9484259999999998,8,45,bee
0.9641379999999999,8,50,bee
0.9275780000000002,8,55,bee
0.8885500000000002,8,60,bee
0.874782,8,65,bee
0.8423149999999999,8,70,bee
0.6478510000000001,8,75,bee
0.5489309999999998,8,80,bee
0.14812399999999998,8,85,bee
0.020665800000000005,8,90,bee
0.00626375,8,95,bee
0.000939166,8,100,bee
0.98475,9,0,bee
0.9748669999999999,9,5,bee
0.9226940000000001,9,10,bee
0.958448,9,15,bee
0.916939,9,20,bee
0.9844009999999999,9,25,bee
0.9457760000000002,9,30,bee
0.8642579999999997,9,35,bee
0.819364,9,40,bee
0.8553619999999997,9,45,bee
0.8234329999999999,9,50,bee
0.37613299999999994,9,55,bee
0.486827,9,60,bee
0.450473,9,65,bee
0.293186,9,70,bee
0.0729628,9,75,bee
0.12140100000000001,9,80,bee
0.11341599999999999,9,85,bee
0.018735200000000004,9,90,bee
0.0025034300000000005,9,95,bee
0.0010000000000000002,9,100,bee
